0|iata_code|1|name_eng|2|city_rus|3|country_rus
AOT|AOT|Corrado Gex|Corrado Gex|Аоста|Аоста|Италия|Италия
AOU|AOU|Attopeu|Attopeu|Аттопью|Аттопью|Лаос|Лаос
APA|APA|Arapahoe Co|Arapahoe Co|Денвер|Денвер|США|США
APB|APB|Apolo|Apolo|Аполо|Аполо|Боливия|Боливия
APC|APC|Napa County|Napa County|Напа|Напа|США|США
APE|APE|San Juan Aposento|San Juan Aposento|Сан-Хуан-Апосенто|Сан-Хуан-Апосенто|Перу|Перу
APF|APF|Naples|Naples|Неаполь|Неаполь|США|США
APG|APG|Phillips AAF|Phillips AAF|||США|США
APH|APH|Camp A P Hill|Camp A P Hill|||США|США
API|API|Apiay|Apiay|Апиай|Апиай|Колумбия|Колумбия
APK|APK|Apataki|Apataki|||Французская Полинезия|Французская Полинезия
APL|APL|Nampula|Nampula|Нампула|Нампула|Мозамбик|Мозамбик
APN|APN|Alpena County Regional|Alpena County Regional|||США|США
APO|APO|Apartado|Apartado|Апартадо|Апартадо|Колумбия|Колумбия
APP|APP|Asapa|Asapa|Асапа|Асапа|Папуа - Новая Гвинея|Папуа - Новая Гвинея
APQ|APQ|Arapiraca|Arapiraca|||Бразилия|Бразилия
APR|APR|April River|April River|Эйприл-Ривер|Эйприл-Ривер|Папуа - Новая Гвинея|Папуа - Новая Гвинея
APS|APS|Anapolis|Anapolis|||Бразилия|Бразилия
APT|APT|Marion County|Marion County|Джаспер|Джаспер|США|США
APU|APU|Apucarana|Apucarana|||Бразилия|Бразилия
APV|APV|Apple Valley|Apple Valley|Эппл Вэлли|Эппл Вэлли|США|США
APW|APW|Faleolo|Faleolo|||Самоа|Самоа
APX|APX|Arapongas|Arapongas|||Бразилия|Бразилия
APY|APY|Alto Parnaiba|Alto Parnaiba|||Бразилия|Бразилия
APZ|APZ|Zapala|Zapala|Запала|Запала|Аргентина|Аргентина
AQA|AQA|Araraquara|Araraquara|||Бразилия|Бразилия
AQB|AQB|Quiche Airport|Quiche Airport|||Гватемала|Гватемала
AQG|AQG|Anqing|Anqing|Аньцин|Аньцин|Китай|Китай
